territori,tipus_de_territori,any,atur
la maternitat i sant ramon,Barri,2015,1268.0
pedralbes,Barri,2015,2800.0
vallvidrera el tibidabo i les planes,Barri,2015,1140.0
sarria,Barri,2015,6020.0
les tres torres,Barri,2015,4450.0
sant gervasi la bonanova,Barri,2015,7780.0
sant gervasi galvany,Barri,2015,1416.0
el putxet i el farro,Barri,2015,1336.0
vallcarca i els penitents,Barri,2015,8670.0
el coll,Barri,2015,3660.0
la salut,Barri,2015,7230.0
la vila de gracia,Barri,2015,276.0
el camp den grassot i gracia nova,Barri,2015,1813.0
el baix guinardo,Barri,2015,1406.0
can baro,Barri,2015,5170.0
el guinardo,Barri,2015,2215.0
la font den fargues,Barri,2015,6870.0
el carmel,Barri,2015,2341.0
la teixonera,Barri,2015,6940.0
sant genis dels agudells,Barri,2015,4160.0
montbau,Barri,2015,3010.0
la vall dhebron,Barri,2015,3210.0
la clota,Barri,2015,220.0
horta,Barri,2015,1949.0
vilapicina i la torre llobeta,Barri,2015,1807.0
porta,Barri,2015,1757.0
el turo de la peira,Barri,2015,1126.0
can peguera,Barri,2015,1570.0
la guineueta,Barri,2015,1271.0
canyelles,Barri,2015,6200.0
les roquetes,Barri,2015,1344.0
verdun,Barri,2015,103.0
la prosperitat,Barri,2015,198.0
la trinitat nova,Barri,2015,8820.0
torre baro,Barri,2015,2430.0
ciutat meridiana,Barri,2015,127.0
vallbona,Barri,2015,1470.0
la trinitat vella,Barri,2015,1177.0
baro de viver,Barri,2015,1690.0
el bon pastor,Barri,2015,9610.0
sant andreu,Barri,2015,3884.0
la sagrera,Barri,2015,1791.0
